,address,street_name,street_type,street_quad,house_number,address_type,longitude,latitude,location,point,:@computed_region_4a3i_ccfj,:@computed_region_4b54_tmc4,:@computed_region_kxmf_bzkv,:@computed_region_hq2j_w7j9,:@computed_region_p8tp_5dkv,house_alpha
279,121 SIGNATURE WY SW,SIGNATURE,WY,SW,121,Parcel,-114.17480209904717,51.03513702617259,"{'latitude': '51.03513702617259', 'longitude': '-114.17480209904717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.17480209904717, 51.03513702617259]}",1,1,278,65,14,
280,35 MT APEX GR SE,MT APEX,GR,SE,35,Parcel,-113.97917403616952,50.924155325664216,"{'latitude': '50.924155325664216', 'longitude': '-113.97917403616952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.97917403616952, 50.924155325664216]}",3,4,296,89,13,
281,5528 FORAND ST SW,FORAND,ST,SW,5528,Parcel,-114.12058494213738,51.004194321515534,"{'latitude': '51.004194321515534', 'longitude': '-114.12058494213738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.12058494213738, 51.004194321515534]}",1,8,210,196,2,
282,139 MIDLAND PL SE,MIDLAND,PL,SE,139,Parcel,-114.04446978881211,50.90934927399159,"{'latitude': '50.90934927399159', 'longitude': '-114.04446978881211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.04446978881211, 50.90934927399159]}",3,6,263,161,13,
283,1392 FALCONRIDGE DR NE,FALCONRIDGE,DR,NE,1392,Parcel,-113.94132237348671,51.100366430601376,"{'latitude': '51.100366430601376', 'longitude': '-113.94132237348671', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.94132237348671, 51.100366430601376]}",4,9,56,278,1,
284,151 WATERLOO DR SW,WATERLOO,DR,SW,151,Parcel,-114.14674831393337,51.0497822427114,"{'latitude': '51.0497822427114', 'longitude': '-114.14674831393337', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.14674831393337, 51.0497822427114]}",1,14,170,73,2,
285,3 CASTLEBROOK WY NE,CASTLEBROOK,WY,NE,3,Parcel,-113.96301146842117,51.1065401842993,"{'latitude': '51.1065401842993', 'longitude': '-113.96301146842117', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.96301146842117, 51.1065401842993]}",4,9,119,262,1,
286,56 SCENIC RI NW,SCENIC,RI,NW,56,Parcel,-114.20852904410312,51.11788472934771,"{'latitude': '51.11788472934771', 'longitude': '-114.20852904410312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.20852904410312, 51.11788472934771]}",2,13,148,48,9,
287,660 STRATHCONA DR SW,STRATHCONA,DR,SW,660,Parcel,-114.16837032870727,51.044277339104525,"{'latitude': '51.044277339104525', 'longitude': '-114.16837032870727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.16837032870727, 51.044277339104525]}",1,1,67,20,14,
288,105 SIGNATURE WY SW,SIGNATURE,WY,SW,105,Parcel,-114.17380636301458,51.03521135524126,"{'latitude': '51.03521135524126', 'longitude': '-114.17380636301458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.17380636301458, 51.03521135524126]}",1,1,278,65,14,
289,87 TUSCARORA CL NW,TUSCARORA,CL,NW,87,Parcel,-114.23489574743634,51.126536702178164,"{'latitude': '51.126536702178164', 'longitude': '-114.23489574743634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.23489574743634, 51.126536702178164]}",2,13,158,107,9,
290,72 HAWKFIELD CR NW,HAWKFIELD,CR,NW,72,Parcel,-114.19039086722428,51.130505521625665,"{'latitude': '51.130505521625665', 'longitude': '-114.19039086722428', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.19039086722428, 51.130505521625665]}",2,3,248,176,10,
291,50 LAKE CHRISTINA CL SE,LAKE CHRISTINA,CL,SE,50,Parcel,-114.0388031511046,50.94073356356459,"{'latitude': '50.94073356356459', 'longitude': '-114.0388031511046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.0388031511046, 50.94073356356459]}",3,6,267,123,13,
292,1207 NEW BRIGHTON PA SE,NEW BRIGHTON,PA,SE,1207,Parcel,-113.9393717848991,50.91441800938166,"{'latitude': '50.91441800938166', 'longitude': '-113.9393717848991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.9393717848991, 50.91441800938166]}",3,4,139,247,8,
293,43 HAMPSTEAD WY NW,HAMPSTEAD,WY,NW,43,Parcel,-114.14498395225128,51.1398765678646,"{'latitude': '51.1398765678646', 'longitude': '-114.14498395225128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.14498395225128, 51.1398765678646]}",2,3,286,27,10,
294,2328 CRESTWOOD RD SE,CRESTWOOD,RD,SE,2328,Parcel,-114.00429151766143,50.99250123534189,"{'latitude': '50.99250123534189', 'longitude': '-114.00429151766143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.00429151766143, 50.99250123534189]}",3,10,28,242,11,
295,104 EVANSTON MR NW,EVANSTON,MR,NW,104,Parcel,-114.09642092702269,51.180841141091776,"{'latitude': '51.180841141091776', 'longitude': '-114.09642092702269', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.09642092702269, 51.180841141091776]}",2,3,237,92,10,
296,224 WOODRIDGE DR SW,WOODRIDGE,DR,SW,224,Parcel,-114.11390237682764,50.9336375592698,"{'latitude': '50.9336375592698', 'longitude': '-114.11390237682764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.11390237682764, 50.9336375592698]}",1,5,216,142,6,
297,240 NOLANSHIRE PT NW,NOLANSHIRE,PT,NW,240,Parcel,-114.16428525660116,51.171587214293304,"{'latitude': '51.171587214293304', 'longitude': '-114.16428525660116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.16428525660116, 51.171587214293304]}",2,3,188,188,10,
298,171 PANORAMA HILLS WY NW,PANORAMA HILLS,WY,NW,171,Parcel,-114.07531999366867,51.15383679682239,"{'latitude': '51.15383679682239', 'longitude': '-114.07531999366867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.07531999366867, 51.15383679682239]}",2,11,235,95,12,
299,723 SCHOONER CV NW,SCHOONER,CV,NW,723,Parcel,-114.22620420852148,51.121140616177,"{'latitude': '51.121140616177', 'longitude': '-114.22620420852148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.22620420852148, 51.121140616177]}",2,13,148,48,9,
300,1105 53 ST SE,53,ST,SE,1105,Parcel,-113.95704045341856,51.043582621240944,"{'latitude': '51.043582621240944', 'longitude': '-113.95704045341856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.95704045341856, 51.043582621240944]}",3,12,30,244,11,
301,1611 32 AV NW,32,AV,NW,1611,Parcel,-114.09701780337079,51.081383033089786,"{'latitude': '51.081383033089786', 'longitude': '-114.09701780337079', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.09701780337079, 51.081383033089786]}",2,7,214,108,4,
302,118 CHAPMAN CI SE,CHAPMAN,CI,SE,118,Parcel,-114.02865296588851,50.87925439984491,"{'latitude': '50.87925439984491', 'longitude': '-114.02865296588851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.02865296588851, 50.87925439984491]}",3,6,130,218,13,
303,25 MT KIDD GD SE,MT KIDD,GD,SE,25,Parcel,-113.99647338513574,50.90284750176215,"{'latitude': '50.90284750176215', 'longitude': '-113.99647338513574', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.99647338513574, 50.90284750176215]}",3,4,296,89,13,
304,29 HAMPTONS MR NW,HAMPTONS,MR,NW,29,Parcel,-114.16197751583042,51.148988686581134,"{'latitude': '51.148988686581134', 'longitude': '-114.16197751583042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.16197751583042, 51.148988686581134]}",2,3,286,27,10,
305,141 SADDLEFIELD PL NE,SADDLEFIELD,PL,NE,141,Parcel,-113.93564239176118,51.12573016050982,"{'latitude': '51.12573016050982', 'longitude': '-113.93564239176118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.93564239176118, 51.12573016050982]}",4,11,2,143,1,
306,67 RIVERVALLEY CR SE,RIVERVALLEY,CR,SE,67,Parcel,-114.01629147018943,50.9744875928297,"{'latitude': '50.9744875928297', 'longitude': '-114.01629147018943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.01629147018943, 50.9744875928297]}",3,10,19,234,8,
307,50 COUNTRY VILLAGE VI NE,COUNTRY VILLAGE,VI,NE,50,Parcel,-114.05658296498224,51.16170933254429,"{'latitude': '51.16170933254429', 'longitude': '-114.05658296498224', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.05658296498224, 51.16170933254429]}",4,11,264,112,12,
308,96 RIVERCROFT CL SE,RIVERCROFT,CL,SE,96,Parcel,-114.00627117897841,50.975495179974565,"{'latitude': '50.975495179974565', 'longitude': '-114.00627117897841', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.00627117897841, 50.975495179974565]}",3,10,19,234,8,
309,93 HUNTSTROM DR NE,HUNTSTROM,DR,NE,93,Parcel,-114.05003634538893,51.122522920144476,"{'latitude': '51.122522920144476', 'longitude': '-114.05003634538893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.05003634538893, 51.122522920144476]}",4,2,261,158,4,
310,1467 LAKE MICHIGAN CR SE,LAKE MICHIGAN,CR,SE,1467,Parcel,-114.02802811384514,50.9462233651664,"{'latitude': '50.9462233651664', 'longitude': '-114.02802811384514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.02802811384514, 50.9462233651664]}",3,6,175,83,13,
311,70 WALGROVE LI SE,WALGROVE,LI,SE,70,Parcel,-114.02447395060196,50.867032116909904,"{'latitude': '50.867032116909904', 'longitude': '-114.02447395060196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.02447395060196, 50.867032116909904]}",3,6,135,190,13,
312,#20 300 EVANSCREEK CO NW,EVANSCREEK,CO,NW,300,Parcel,-114.11974409351065,51.16661163131887,"{'latitude': '51.16661163131887', 'longitude': '-114.11974409351065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.11974409351065, 51.16661163131887]}",2,3,237,92,10,
313,403 OAKRIDGE WY SW,OAKRIDGE,WY,SW,403,Parcel,-114.13380817999206,50.96375497992353,"{'latitude': '50.96375497992353', 'longitude': '-114.13380817999206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.13380817999206, 50.96375497992353]}",1,8,217,155,5,
314,55 HONG KONG RD SW,HONG KONG,RD,SW,55,Parcel,-114.13222407917173,51.016822131179616,"{'latitude': '51.016822131179616', 'longitude': '-114.13222407917173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.13222407917173, 51.016822131179616]}",1,8,199,50,2,
315,2411 JUNIPER RD NW,JUNIPER,RD,NW,2411,Parcel,-114.11664570100422,51.062515649140764,"{'latitude': '51.062515649140764', 'longitude': '-114.11664570100422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.11664570100422, 51.062515649140764]}",2,7,280,35,7,
316,34 COPPERPOND CO SE,COPPERPOND,CO,SE,34,Parcel,-113.92308950801112,50.92261191079702,"{'latitude': '50.92261191079702', 'longitude': '-113.92308950801112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.92308950801112, 50.92261191079702]}",3,4,96,230,8,
317,1828 76 AV SE,76,AV,SE,1828,Parcel,-114.01730063070745,50.9851590903597,"{'latitude': '50.9851590903597', 'longitude': '-114.01730063070745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.01730063070745, 50.9851590903597]}",3,10,28,242,11,
318,27 ANGLE ST SW,ANGLE,ST,SW,27,Parcel,-114.12350632907462,51.002238298587294,"{'latitude': '51.002238298587294', 'longitude': '-114.12350632907462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.12350632907462, 51.002238298587294]}",1,8,210,196,2,
319,163 SHERWOOD HL NW,SHERWOOD,HL,NW,163,Parcel,-114.1509107853627,51.155215534815966,"{'latitude': '51.155215534815966', 'longitude': '-114.1509107853627', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.1509107853627, 51.155215534815966]}",2,3,292,86,10,
320,6608 BOWWOOD DR NW,BOWWOOD,DR,NW,6608,Parcel,-114.18493305088991,51.0869264351174,"{'latitude': '51.0869264351174', 'longitude': '-114.18493305088991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.18493305088991, 51.0869264351174]}",2,13,149,77,9,
321,3798 CATALINA BV NE,CATALINA,BV,NE,3798,Parcel,-113.93125595622004,51.08844549620835,"{'latitude': '51.08844549620835', 'longitude': '-113.93125595622004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.93125595622004, 51.08844549620835]}",4,9,161,116,3,
322,23 BRIDLEWOOD RD SW,BRIDLEWOOD,RD,SW,23,Parcel,-114.09909857569578,50.90246969702883,"{'latitude': '50.90246969702883', 'longitude': '-114.09909857569578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.09909857569578, 50.90246969702883]}",1,5,138,283,6,
323,10672 HIDDEN VALLEY DR NW,HIDDEN VALLEY,DR,NW,10672,Parcel,-114.10521760342934,51.15082757907736,"{'latitude': '51.15082757907736', 'longitude': '-114.10521760342934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.10521760342934, 51.15082757907736]}",2,2,25,289,12,
324,27 EDGEFORD WY NW,EDGEFORD,WY,NW,27,Parcel,-114.15739992650275,51.11970133901884,"{'latitude': '51.11970133901884', 'longitude': '-114.15739992650275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.15739992650275, 51.11970133901884]}",2,2,272,59,4,
325,100 HAMPSTEAD GR NW,HAMPSTEAD,GR,NW,100,Parcel,-114.13928772693286,51.142511272832024,"{'latitude': '51.142511272832024', 'longitude': '-114.13928772693286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.13928772693286, 51.142511272832024]}",2,3,286,27,10,
326,30 SOMERSET WY SW,SOMERSET,WY,SW,30,Parcel,-114.08571183058628,50.89994742544535,"{'latitude': '50.89994742544535', 'longitude': '-114.08571183058628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.08571183058628, 50.89994742544535]}",1,5,55,125,6,
327,110 SIMCOE CI SW,SIMCOE,CI,SW,110,Parcel,-114.18090477007618,51.03667298828756,"{'latitude': '51.03667298828756', 'longitude': '-114.18090477007618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.18090477007618, 51.03667298828756]}",1,1,278,65,14,
328,1745 LEGACY CI SE,LEGACY,CI,SE,1745,Parcel,-114.01434886764932,50.860988017096126,"{'latitude': '50.860988017096126', 'longitude': '-114.01434886764932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.01434886764932, 50.860988017096126]}",3,6,99,159,13,
329,116 ASPEN HILLS CL SW,ASPEN HILLS,CL,SW,116,Parcel,-114.22195009117297,51.040671226506014,"{'latitude': '51.040671226506014', 'longitude': '-114.22195009117297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.22195009117297, 51.040671226506014]}",1,1,48,284,14,
330,18 BRIDLE ESTATES WY SW,BRIDLE ESTATES,WY,SW,18,Parcel,-114.1178637536044,50.8974247247618,"{'latitude': '50.8974247247618', 'longitude': '-114.1178637536044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.1178637536044, 50.8974247247618]}",1,5,138,283,6,
331,78 FAIRVIEW CR SE,FAIRVIEW,CR,SE,78,Parcel,-114.06145432606316,50.98493620135446,"{'latitude': '50.98493620135446', 'longitude': '-114.06145432606316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.06145432606316, 50.98493620135446]}",3,10,284,25,11,
332,611 22 AV SW,22,AV,SW,611,Parcel,-114.07494744521227,51.03324438104651,"{'latitude': '51.03324438104651', 'longitude': '-114.07494744521227', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.07494744521227, 51.03324438104651]}",1,14,18,231,2,
333,122 SADDLELAND CR NE,SADDLELAND,CR,NE,122,Parcel,-113.93670779397122,51.13225269957418,"{'latitude': '51.13225269957418', 'longitude': '-113.93670779397122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.93670779397122, 51.13225269957418]}",4,11,2,143,1,
334,1440 43 ST NE,43,ST,NE,1440,Parcel,-113.97161865404033,51.06499139236047,"{'latitude': '51.06499139236047', 'longitude': '-113.97161865404033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.97161865404033, 51.06499139236047]}",4,12,77,80,3,
335,529 RUNDLEVILLE PL NE,RUNDLEVILLE,PL,NE,529,Parcel,-113.97378800172218,51.07334968170332,"{'latitude': '51.07334968170332', 'longitude': '-113.97378800172218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.97378800172218, 51.07334968170332]}",4,9,34,291,3,
336,236 OAKLAND PL SW,OAKLAND,PL,SW,236,Parcel,-114.13713409238797,50.96810532546384,"{'latitude': '50.96810532546384', 'longitude': '-114.13713409238797', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.13713409238797, 50.96810532546384]}",1,8,217,155,5,
337,7744 46 AV NW,46,AV,NW,7744,Parcel,-114.19885435904153,51.09420512492228,"{'latitude': '51.09420512492228', 'longitude': '-114.19885435904153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.19885435904153, 51.09420512492228]}",2,13,149,77,9,
338,8 COPPERPOND AV SE,COPPERPOND,AV,SE,8,Parcel,-113.91747321391247,50.91664363660985,"{'latitude': '50.91664363660985', 'longitude': '-113.91747321391247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.91747321391247, 50.91664363660985]}",3,4,96,230,8,
339,2040 20 AV SW,20,AV,SW,2040,Parcel,-114.10831778725364,51.035699370252026,"{'latitude': '51.035699370252026', 'longitude': '-114.10831778725364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.10831778725364, 51.035699370252026]}",1,14,181,282,2,
340,127 BEACONSFIELD RD NW,BEACONSFIELD,RD,NW,127,Parcel,-114.10117076812597,51.131619080710884,"{'latitude': '51.131619080710884', 'longitude': '-114.10117076812597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.10117076812597, 51.131619080710884]}",2,2,273,60,4,
341,1623 9 ST NW,9,ST,NW,1623,Parcel,-114.0829042606981,51.066260729886885,"{'latitude': '51.066260729886885', 'longitude': '-114.0829042606981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.0829042606981, 51.066260729886885]}",2,7,219,144,7,
342,112 SETON TC SE,SETON,TC,SE,112,Parcel,-113.95923258233232,50.869081779994445,"{'latitude': '50.869081779994445', 'longitude': '-113.95923258233232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.95923258233232, 50.869081779994445]}",3,4,229,94,8,
343,311 ASPEN GLEN PL SW,ASPEN GLEN,PL,SW,311,Parcel,-114.20065678465474,51.03882242396898,"{'latitude': '51.03882242396898', 'longitude': '-114.20065678465474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.20065678465474, 51.03882242396898]}",1,1,48,284,14,
344,6420 CROWCHILD TR SW,CROWCHILD,TR,SW,6420,Parcel,-114.11766008640528,50.99648307029557,"{'latitude': '50.99648307029557', 'longitude': '-114.11766008640528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.11766008640528, 50.99648307029557]}",1,8,122,265,5,
345,4631 85 ST NW,85,ST,NW,4631,Parcel,-114.21115465954203,51.09251721508317,"{'latitude': '51.09251721508317', 'longitude': '-114.21115465954203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.21115465954203, 51.09251721508317]}",2,13,149,77,9,
346,20 WOODGREEN CR SW,WOODGREEN,CR,SW,20,Parcel,-114.1042974744151,50.939155779129166,"{'latitude': '50.939155779129166', 'longitude': '-114.1042974744151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.1042974744151, 50.939155779129166]}",1,5,216,142,6,
347,1620 44 ST SW,44,ST,SW,1620,Parcel,-114.1509717884343,51.0389539358773,"{'latitude': '51.0389539358773', 'longitude': '-114.1509717884343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.1509717884343, 51.0389539358773]}",1,14,281,36,2,
348,332 DOUGLAS GLEN PT SE,DOUGLAS GLEN,PT,SE,332,Parcel,-114.01479840580592,50.95308461088638,"{'latitude': '50.95308461088638', 'longitude': '-114.01479840580592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.01479840580592, 50.95308461088638]}",3,4,268,124,8,
349,245 CRANFORD DR SE,CRANFORD,DR,SE,245,Parcel,-113.96828757586864,50.87563807664349,"{'latitude': '50.87563807664349', 'longitude': '-113.96828757586864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.96828757586864, 50.87563807664349]}",3,4,294,82,8,
350,108 EVERSYDE PT SW,EVERSYDE,PT,SW,108,Parcel,-114.11410662309159,50.90878204334458,"{'latitude': '50.90878204334458', 'longitude': '-114.11410662309159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.11410662309159, 50.90878204334458]}",1,5,39,257,6,
351,149 SADDLECREST PL NE,SADDLECREST,PL,NE,149,Parcel,-113.94539038754876,51.13641115894612,"{'latitude': '51.13641115894612', 'longitude': '-113.94539038754876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.94539038754876, 51.13641115894612]}",4,11,2,143,1,
352,90 BRIDLEWOOD AV SW,BRIDLEWOOD,AV,SW,90,Parcel,-114.10238886638615,50.897228192375664,"{'latitude': '50.897228192375664', 'longitude': '-114.10238886638615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.10238886638615, 50.897228192375664]}",1,5,138,283,6,
353,2603 25A ST SW,25A,ST,SW,2603,Parcel,-114.12245343186198,51.03141576628566,"{'latitude': '51.03141576628566', 'longitude': '-114.12245343186198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.12245343186198, 51.03141576628566]}",1,14,182,38,2,
354,46 MT ALBERTA MR SE,MT ALBERTA,MR,SE,46,Parcel,-113.98749529332,50.91459183313827,"{'latitude': '50.91459183313827', 'longitude': '-113.98749529332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.98749529332, 50.91459183313827]}",3,4,296,89,13,
355,35 HIDDEN CREEK GR NW,HIDDEN CREEK,GR,NW,35,Parcel,-114.10260389715691,51.154538520688455,"{'latitude': '51.154538520688455', 'longitude': '-114.10260389715691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.10260389715691, 51.154538520688455]}",2,2,25,289,12,
356,110 SOMERVALE PA SW,SOMERVALE,PA,SW,110,Parcel,-114.07137601014591,50.89970526097288,"{'latitude': '50.89970526097288', 'longitude': '-114.07137601014591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.07137601014591, 50.89970526097288]}",1,5,55,125,6,
357,2 COPPERFIELD CM SE,COPPERFIELD,CM,SE,2,Parcel,-113.93767864287749,50.910001448614025,"{'latitude': '50.910001448614025', 'longitude': '-113.93767864287749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.93767864287749, 50.910001448614025]}",3,4,96,230,8,
